,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
23,116.48471817,39.15714774,0,707,6,4,23,1,zg,1575181462315,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.89182997,1.26300001,0.943064988,0,19.9109993,1536.5,1540.5,116.4847262059,39.15713968629,-0.0002812506607735,-4.774993705093e-06,4.775627574402e-06,-0.0002812525989427,117.05485627,39.58147501,115.93357038,39.59638576,115.92143624,38.73012208,117.02865702,38.71565647,2021-06-30 00:00:00+00,1
24,112.92851904,41.06820864,0,707,11,3,42,1,zg,1575181464215,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.95918,1.26300001,0.943064988,0,19.8806992,1536.5,1540.5,112.9285732294,41.06821667385,-0.0002812460480186,6.663244415147e-06,-6.600027259756e-06,-0.0002812219709606,113.49183661,41.51010115,112.33821939,41.48958579,112.3730089,40.62387548,113.51137139,40.64387747,2021-06-30 00:00:00+00,1
25,111.61228547,41.03819868,0,707,12,4,47,1,zg,1575181464715,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.97151995,1.26300001,0.943064988,0,19.9202003,1536.5,1540.5,111.6122503597,41.03821346614,-0.000281071726469,1.129098878118e-05,-1.132551014173e-05,-0.0002810195846898,112.16530482,41.48703581,111.01288527,41.45210671,111.0665999,40.5868364,112.20376295,40.62145215,2021-06-30 00:00:00+00,1
26,115.35947874,37.25331177,0,707,2,3,6,1,zg,1575181460615,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.97097003,1.26300001,0.943064988,0,19.8976994,1536.5,1540.5,115.359498896,37.25334902549,-0.0002812499468673,-1.232966146756e-06,1.304626573045e-06,-0.0002813164837976,115.9079075,37.68329476,114.81602356,37.68721708,114.81767038,36.82100564,115.89667691,36.81697883,2021-06-30 00:00:00+00,1
27,117.7222698,38.09155368,0,707,1,2,1,1,zg,1575181460115,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.90383005,1.26300001,0.943064988,0,19.9493008,1536.5,1540.5,117.7222818053,38.09151717887,-0.0002810942268525,-9.279126419461e-06,9.295785064909e-06,-0.0002810996396135,118.2924068,38.50867353,117.18878738,38.53731974,117.15877745,37.67159964,118.24954017,37.643141,2021-06-30 00:00:00+00,1
28,163.54241552,22.82895206,0,622,4,4,15,1,zg,1575310471515,1575,157531047,1,object,o,2021-04-25 07:27:05.26+00,2459329.8104745,30,20210425310475,1.92885005,1.25199997,0.950061977,0,19.5142994,1536.5,1540.5,163.5423900618,22.8289569084,-0.0002811784699533,5.254283943573e-06,-5.376296144579e-06,-0.0002811957157375,164.00371441,23.26957171,163.06341639,23.2530347,163.08406032,22.38706368,164.01806156,22.40355178,2021-06-30 00:00:00+00,1
29,164.59821128,24.75829431,0,622,7,3,26,1,zg,1575310472615,1575,157531047,1,object,o,2021-04-25 07:27:05.26+00,2459329.8104745,30,20210425310475,1.99451995,1.25199997,0.950061977,0,19.5445995,1536.5,1540.5,164.598212949,24.75830216681,-0.0002812714986497,3.881872607115e-06,-3.854224314076e-06,-0.0002812451018926,165.06926417,25.19666674,164.11426426,25.18467212,164.13082913,24.31873603,165.0788087,24.33045025,2021-06-30 00:00:00+00,1
30,162.60526171,22.8096432,0,622,4,3,14,1,zg,1575310471415,1575,157531047,1,object,o,2021-04-25 07:27:05.26+00,2459329.8104745,30,20210425310475,1.99618006,1.25199997,0.950061977,0,19.4822006,1536.5,1540.5,162.6052722798,22.80963806674,-0.0002811354748772,7.123350619753e-06,-7.197060826177e-06,-0.0002811277434445,163.06344028,23.25303085,162.12345173,23.23077486,162.15027337,22.36511029,163.08414404,22.3871538,2021-06-30 00:00:00+00,1
31,163.52464763,23.69507699,0,622,4,1,12,1,zg,1575310471215,1575,157531047,1,object,o,2021-04-25 07:27:05.26+00,2459329.8104745,30,20210425310475,1.99498999,1.25199997,0.950061977,0,19.5573006,1536.5,1540.5,163.5246283364,23.69504673522,-0.0002812088542574,5.362320431354e-06,-5.384767396992e-06,-0.0002811827040163,163.98869834,24.13555465,163.04232021,24.11891646,163.06336992,23.25307435,164.00373961,23.26950749,2021-06-30 00:00:00+00,1
32,184.34938019,42.99735986,0,715,14,3,54,1,zg,1575320425415,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.96211004,1.09099996,0.950592995,0,19.8169003,1536.5,1540.5,184.3494222136,42.99737982102,-0.0002812362129145,-2.897086125728e-06,2.979279192762e-06,-0.0002812425630564,184.95046493,43.42450859,183.760731,43.43355606,183.75702467,42.56752344,184.92985131,42.55838523,2021-06-30 00:00:00+00,1
